ano,barrio,titulo,id,descripcion,direccion,longlat,presupuesto,tema,temaResumen,temaScrolli,subtema,beneficiarios,obrasOCampana,votos,estado
2014,VILLA ADELINA,Colocación de semáforo,107,Colocación de semáforo,Ricardo Rojas y Parana,"-34.5227165,-58.5472482",80288,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,14,FINALIZADO
2014,VILLA ADELINA,Mejoramiento de iluminación,108,Mejoramiento de iluminación,Santa Fe 5900 al 6900 (desde las vías del FFCC Belgrano hasta Primera Junta),"-34.52710224,-58.54815317",85950,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,ILUMINACIÓN,POBLACIÓN EN GENERAL,1,69,FINALIZADO
2014,VILLA ADELINA,Plan de reforestación,109,Reposición de árboles,Ubicación random dentro del barrio,"-34.517301, -58.551853",9484,AMBIENTE,AMBIENTE,AMBIENTE,ARBOLADO,POBLACIÓN EN GENERAL,1,43,FINALIZADO
2014,VILLA ADELINA,Plaza Eduardo Ader,110,"Puesta en Valor: Construcción de playón para deportes, Colocación de estaciones de gimnasia y de juegos integradores para niños, mejoramiento de iluminación, reforestación, cartelería y renovación de mobiliario",Triunvirato y Santiago del Estero,"-34.535421, -58.554010",1488648,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,PLAZAS Y PASEOS,POBLACIÓN EN GENERAL,1,99,FINALIZADO
2014,VILLA ADELINA,Plaza Eduardo Ader ,111,"Construcción de una dársena para estacionamiento de móviles policiales y municipales en el Destacamento Policial,consagrada al Soldado Argentino.",Triunvirato y Santiago del Estero,"-34.5302314,-58.5520492",35500,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD,POBLACIÓN EN GENERAL,1,18,FINALIZADO
2014,VILLA ADELINA,Reducidores de velocidad,112,"Colocación de reducidores de velocidad, acompañados de señalética correspondiente",Santa fe y Cerrito,"-34.5288047,-58.5523954",4250,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,TRÁNSITO,POBLACIÓN EN GENERAL,1,23,FINALIZADO
2014,VILLA MARTELLI,Barrio Habana ,113,Instalación 3 sectores de juegos infantiles con piso antigolpes en espacios verdes  ,Habana y Venezuela,"-34.5561125,-58.5191571",302106,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA COMUNITARIA,INFRAESTRUCTURA EN DEPORTES Y RECREACIÓN,RECREACIÓN,NIÑOS DE POBLACIÓN VULNERABLE,1,75,FINALIZADO
2014,VILLA MARTELLI,Cámaras de vigilancia urbana conectadas al Centro de Monitoreo Municipal,114,Compra e instalación de 2 cámaras domo,Ubicación random dentro del barrio,"-34.552397, -58.503934",42745,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,SEGURIDAD Y TRÁNSITO,CÁMARAS,POBLACIÓN EN GENERAL,1,335,FINALIZADO
2014,VILLA MARTELLI,Campaña educativa en higiene urbana y reciclado,115,Campaña educativa en higiene urbana y reciclado,Ubicación random dentro del barrio,"-34.552045, -58.511401",65762,AMBIENTE,AMBIENTE,AMBIENTE,RECICLADO,POBLACIÓN EN GENERAL,2,118,FINALIZADO
2014,VILLA MARTELLI,Corte de raíces y reparación de veredas,116,Corte de raíces y reparación de veredas (según grado de deterioro),Ubicación random dentro del barrio,"-34.545186, -58.502991",500000,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,INFRAESTRUCTURA URBANA,VEREDAS,POBLACIÓN EN GENERAL,1,257,FINALIZADO
